#,Zona Geográfica,Região administrativa,Bairro,População(2010),área km²,área km²
185,ZONA NORTE,Venda Nova,Conjunto Minascaixa,4 421,"0,214",
186,ZONA NORTE,Pampulha,São Francisco,4 389,"1,429",
187,ZONA OESTE,Barreiro,Solar do Barreiro,4 385,"0,731",
188,ZONA SUL,Centro-Sul,Nossa Senhora da Aparecida,4 341,"0,138",
189,ZONA NORTE,Pampulha,Trevo,4 311,"1,916",
190,ZONA NORTE,Pampulha,Confisco,4 283,"0,276",
191,ZONA OESTE,Noroeste,Dom Cabral,4 280,"0,538",
192,ZONA OESTE,Barreiro,Mineirão,4 235,"0,394",
193,ZONA LESTE,Nordeste,Dom Silvério,4 195,"0,508",
194,ZONA LESTE,Nordeste,Fernão Dias,4 190,"0,505",
195,ZONA LESTE,Nordeste,Ouro Minas,4 143,"0,533",
196,ZONA LESTE,Nordeste,Beira-Linha,4 132,"0,231",
197,ZONA SUL,Centro-Sul,Santana do Cafezal,4 078,"0,168",
198,ZONA NORTE,Pampulha,Jaraguá,4 059,"0,505",
199,ZONA LESTE,Norte,Vila Primeiro de Maio,4 025,"0,164",
200,ZONA LESTE,Nordeste,Eymard,3 947,"0,594",
201,ZONA SUL,Centro-Sul e Leste,Novo São Lucas,3 926,"0,28",
202,ZONA NORTE,Nordeste e Noroeste,Lagoinha (ZN),2 290,"0,329",
202,HIPERCENTRO,Nordeste e Noroeste,Lagoinha (HC),1 583,"0,228",
203,ZONA LESTE,Leste,Vera Cruz,3 862,"0,448",
204,ZONA LESTE,Nordeste,Maria Virgínia (ZL),2 940,"0,441",
204,ZONA NORTE,Nordeste,Maria Virgínia (ZN),897,"0,134",
205,ZONA SUL,Centro-Sul,Carmo,3 816,"0,314",
206,ZONA OESTE,Noroeste e Oeste,Oeste,3 796,"0,794",
207,ZONA LESTE,Nordeste,São Paulo,3 750,"0,504",
208,ZONA OESTE,Barreiro,Conjunto Jatobá,3 720,"0,141",
209,ZONA SUL,Centro-Sul,Fazendinha,3 715,"0,221",
210,ZONA SUL,Centro-Sul,São Bento,3 688,"0,979",
211,ZONA SUL,Centro-Sul,Vila Novo São Lucas,3 677,"0,155",
212,ZONA SUL,Oeste,Leonina,3 670,"0,167",
213,ZONA NORTE,Noroeste,Bom Jesus,3 615,"0,275",
214,ZONA LESTE,Leste,Granja de Freitas,3 602,"0,823",
215,ZONA SUL,Centro-Sul,Vila Paris,3 560,"0,299",
216,ZONA LESTE,Leste,Mariano de Abreu,3 541,"0,171",
217,ZONA OESTE,Noroeste,Minas Brasil,3 511,"0,326",
218,ZONA LESTE,Norte,Monte Azul,3 494,"0,588",
219,ZONA OESTE,Barreiro,Mangueiras,3 467,"0,375",
220,ZONA OESTE,Noroeste e Pampulha,Inconfidência,3 465,"0,345",
221,ZONA NORTE,Noroeste,Ermelinda,3 455,"0,384",
222,ZONA OESTE,Barreiro,Jatobá,3 447,"0,332",
223,ZONA LESTE,Nordeste,Vitória,3 435,"0,408",
224,ZONA LESTE,Leste,Horto,3 429,"0,384",
225,ZONA LESTE,Leste,Taquaril,3 389,"0,421",
226,ZONA OESTE,Noroeste,Conjunto Califórnia I,3 347,"0,305",
227,ZONA NORTE,Pampulha,Indaiá,3 317,"0,435",
228,ZONA SUL,Oeste,Barroca,3 311,"0,24",
229,ZONA LESTE,Nordeste,Dom Joaquim,3 279,"0,58",
230,ZONA LESTE,Nordeste,Pirajá,3 231,"0,252",
231,ZONA LESTE,Nordeste,Conjunto Paulo VI,3 228,"0,216",
232,ZONA OESTE,Noroeste,Alto dos Pinheiros,3 191,"0,421",
233,ZONA SUL,Oeste,Parque São José,3 184,"0,339",
234,ZONA OESTE,Noroeste,Vila Califórnia,3 100,"0,103",
235,ZONA LESTE,Norte,Novo Tupi,3 048,"0,316",
236,ZONA OESTE,Barreiro,Vila Independência I,3 023,"0,145",
237,ZONA OESTE,Noroeste,Conjunto Jardim Filadélfia,3 002,"0,105",
238,ZONA SUL,Centro-Sul,São Lucas,2 987,"0,29",
239,ZONA NORTE,Noroeste,Vila Sumaré,2 987,"0,088",
240,ZONA NORTE,Nordeste e Noroeste,São Cristóvão,2 981,"0,311",
241,ZONA LESTE,Norte,Aarão Reis,2 962,"0,333",
242,ZONA SUL,Barreiro,Pilar,2 946,"1,06",
243,ZONA OESTE,Barreiro,Santa Cecília,2 917,"0,341",
244,ZONA OESTE,Oeste,Marajó,2 885,"0,271",
245,ZONA OESTE,Barreiro,Flávio de Oliveira,2 872,"0,11",
246,ZONA SUL,Oeste,São Jorge III,2 851,"0,224",
247,ZONA NORTE,Noroeste,Senhor dos Passos,2 849,"0,125",
248,ZONA NORTE,Pampulha e Venda Nova,Universo,2 833,"0,13",
249,ZONA OESTE,Barreiro,Santa Rita,2 790,"0,123",
250,ZONA SUL,Oeste,Santa Sofia,2 782,"0,126",
251,ZONA LESTE,Nordeste,Conjunto Capitão Eduardo,2 781,"0,169",
252,ZONA NORTE,Norte,Campo Alegre,2 776,"0,217",
253,ZONA NORTE,Pampulha,Vila Jardim Alvorada,2 776,"0,178",
254,ZONA SUL,Oeste,São Jorge II,2 710,"0,155",
255,ZONA OESTE,Pampulha,Conjunto Celso Machado,2 696,"0,331",
256,ZONA NORTE,Venda Nova,Venda Nova,2 684,"0,768",
257,ZONA OESTE,Barreiro,Pongelupe,2 680,"0,239",
258,ZONA NORTE,Norte,Zilah Spósito,2 638,"0,118",
259,ZONA NORTE,Venda Nova,Canaã,2 614,"0,48",
260,ZONA LESTE,Norte,São Gonçalo,2 598,"0,243",
261,ZONA LESTE,Leste,Jonas Veiga,2 580,"0,525",
262,ZONA LESTE,Nordeste,Acaiaca,2 565,"0,382",
263,ZONA NORTE,Venda Nova,Vila São João Batista,2 486,"0,088",
264,ZONA LESTE,Norte,Primeiro de Maio,2 421,"0,189",
265,ZONA OESTE,Barreiro,Novo Santa Cecília,2 355,"0,252",
266,ZONA NORTE,Norte,Etelvina Carneiro,2 331,"0,305",
267,ZONA NORTE,Venda Nova,Parque São Pedro,2 313,"0,408",
268,ZONA OESTE,Barreiro,Santa Margarida,2 311,"0,253",
269,ZONA NORTE,Venda Nova,Cenáculo,2 299,"0,327",
270,ZONA NORTE,Noroeste,Vila Nova Cachoeirinha I,2 273,"0,059",
271,ZONA LESTE,Nordeste,Belmonte,2 236,"0,482",
272,ZONA LESTE,Nordeste,Penha,2 226,"0,214",
273,ZONA SUL,Oeste,Alpes,2 197,"0,215",
274,ZONA OESTE,Barreiro,Petrópolis,2 150,"0,298",
275,ZONA NORTE,Norte,Mariquinhas,2 147,"0,131",
276,ZONA SUL,Barreiro,Esperança,2 146,"0,118",
277,ZONA OESTE,Barreiro,Ernesto do Nascimento,2 142,"0,181",
278,ZONA NORTE,Venda Nova,Vila Santa Mônica,2 132,"0,066",
279,ZONA NORTE,Norte,Vila Aeroporto,2 092,"0,077",
280,ZONA NORTE,Norte,Granja Werneck (ZN),1 880,"8,714",
280,ZONA LESTE,Norte,Granja Werneck (ZL),188,"0,873",
281,ZONA NORTE,Pampulha,Braúnas,2 031,"2,003",
282,ZONA OESTE,Barreiro,Águas Claras,2 023,"0,147",
283,ZONA OESTE,Barreiro,Alta Tensão I,2 010,"0,08",
284,ZONA NORTE,Norte,Frei Leopoldo,1 995,"0,248",
285,ZONA NORTE,Pampulha,Universitário,1 995,"0,499",
286,ZONA LESTE,Norte e Pampulha,Suzana,1 986,"0,46",
287,ZONA SUL,Centro-Sul e Leste,Mangabeiras,1 947,"6,33",
288,ZONA OESTE,Oeste,Vila Madre Gertrudes I,1 930,"0,061",
289,ZONA OESTE,Barreiro,Vila Mangueiras,1 903,"0,093",
290,ZONA OESTE,Oeste,Barão Homem de Melo I,1 899,"0,005",
291,ZONA LESTE,Nordeste,Vila São Paulo,1 898,"0,074",
292,ZONA OESTE,Barreiro,Túnel de Ibirité,1 894,"0,195",
293,ZONA OESTE,Oeste,Imbaúbas,1 809,"0,048",
294,ZONA OESTE,Barreiro,Ademar Maldonado,1 803,"0,163",
295,ZONA NORTE,Pampulha,Itatiaia,1 793,"0,193",
296,ZONA OESTE,Barreiro,João Paulo II,1 792,"0,165",
297,ZONA SUL,Centro-Sul,Comiteco,1 738,"0,715",
298,ZONA OESTE,Noroeste,Conjunto Califórnia II,1 737,"0,108",
299,ZONA OESTE,Oeste,Jardinópolis,1 728,"0,453",
300,ZONA SUL,Oeste,São Jorge I,1 723,"0,079",
301,ZONA OESTE,Barreiro,Vila Ecológica,1 704,"0,238",
302,ZONA OESTE,Pampulha,Vila Jardim São José,1 698,"0,225",
303,ZONA OESTE,Barreiro,Vila Piratininga,1 693,"0,102",
